t_ms,clip_id,ax,ay,az,gx,gy,gz,label
4844,1,-0.042358,0.003662,1.02124,1.342773,1.037598,1.037598,quieto_mesa
4854,1,-0.04248,0.00354,1.021484,1.220703,0.976562,1.037598,quieto_mesa
4864,1,-0.041992,0.004272,1.021362,1.037598,0.854492,1.037598,quieto_mesa
4874,1,-0.041748,0.004272,1.020996,1.037598,0.976562,1.037598,quieto_mesa
4885,1,-0.042725,0.003662,1.021851,0.976562,0.854492,1.037598,quieto_mesa
4895,1,-0.04248,0.00293,1.021606,0.976562,0.793457,0.854492,quieto_mesa
4905,1,-0.042847,0.003174,1.022217,0.976562,0.793457,0.915527,quieto_mesa
4914,1,-0.042725,0.004272,1.021484,1.098633,1.037598,1.037598,quieto_mesa
4924,1,-0.041992,0.004272,1.021362,1.159668,0.976562,1.098633,quieto_mesa
4934,1,-0.04187,0.00354,1.021606,1.098633,1.098633,1.037598,quieto_mesa
4945,1,-0.043091,0.004028,1.021851,1.220703,1.220703,0.976562,quieto_mesa
4955,1,-0.043457,0.004028,1.022583,1.220703,1.098633,0.915527,quieto_mesa
4965,1,-0.043335,0.003784,1.023071,1.098633,0.976562,0.915527,quieto_mesa
4975,1,-0.041992,0.005127,1.021729,1.037598,0.915527,0.976562,quieto_mesa
4985,1,-0.041504,0.003052,1.021484,0.976562,0.976562,0.854492,quieto_mesa
4995,1,-0.042603,0.004272,1.022339,1.037598,0.915527,0.915527,quieto_mesa
5005,1,-0.041992,0.004395,1.022217,1.037598,1.098633,0.915527,quieto_mesa
5015,1,-0.04248,0.004028,1.021606,0.976562,0.976562,0.854492,quieto_mesa
5025,1,-0.042236,0.00415,1.021851,1.037598,0.976562,0.854492,quieto_mesa
5035,1,-0.042603,0.004272,1.021606,0.976562,1.098633,0.976562,quieto_mesa
5045,1,-0.041748,0.003784,1.021118,1.159668,0.976562,0.915527,quieto_mesa
5055,1,-0.042603,0.003906,1.022461,1.159668,0.915527,0.854492,quieto_mesa
5065,1,-0.042358,0.004639,1.021118,1.037598,0.854492,0.976562,quieto_mesa
5075,1,-0.04248,0.004761,1.022217,1.159668,0.976562,0.915527,quieto_mesa
5085,1,-0.043579,0.00354,1.02124,1.159668,0.976562,0.793457,quieto_mesa
5095,1,-0.042725,0.004028,1.02124,0.854492,0.854492,1.037598,quieto_mesa
5105,1,-0.04248,0.004395,1.022705,1.037598,0.976562,1.098633,quieto_mesa
5115,1,-0.042358,0.003906,1.021729,1.037598,1.098633,1.159668,quieto_mesa
5125,1,-0.042114,0.004639,1.022217,0.976562,1.037598,0.976562,quieto_mesa
