t_ms,clip_id,ax,ay,az,gx,gy,gz,label
20257,1,0.692261,-0.530273,0.05896,-28.625488,-0.671387,-5.493164,circulos
20267,1,0.680908,-0.517212,0.055542,-28.991699,-0.854492,-5.065918,circulos
20276,1,0.677734,-0.505615,0.056396,-28.625488,-2.13623,-5.004883,circulos
20285,1,0.679932,-0.50061,0.058838,-27.954102,-3.051758,-5.004883,circulos
20295,1,0.678101,-0.490845,0.058472,-27.404785,-3.356934,-4.394531,circulos
20304,1,0.667969,-0.472168,0.056885,-27.404785,-5.432129,-4.02832,circulos
20315,1,0.647827,-0.438721,0.057617,-28.015137,-5.92041,-3.662109,circulos
20324,1,0.638794,-0.415771,0.057495,-28.137207,-6.652832,-3.112793,circulos
20334,1,0.642822,-0.393677,0.059692,-28.442383,-8.239746,-3.112793,circulos
20343,1,0.643921,-0.379395,0.062378,-29.35791,-9.094238,-3.540039,circulos
20353,1,0.640259,-0.373901,0.05957,-30.822754,-9.277344,-4.394531,circulos
20362,1,0.646484,-0.387207,0.0625,-32.226562,-10.192871,-5.493164,circulos
20372,1,0.649536,-0.421509,0.074951,-33.02002,-12.451172,-8.850098,circulos
20382,1,0.664307,-0.489624,0.112549,-32.348633,-13.427734,-9.887695,circulos
20392,1,0.68689,-0.508667,0.145508,-31.311035,-13.48877,-10.131836,circulos
20401,1,0.707886,-0.524292,0.181519,-30.822754,-11.657715,-9.216309,circulos
20411,1,0.723145,-0.537476,0.203857,-31.005859,-8.728027,-7.8125,circulos
20420,1,0.727051,-0.546875,0.200928,-31.555176,-5.371094,-5.92041,circulos
20430,1,0.71875,-0.541382,0.1875,-31.738281,-3.417969,-4.760742,circulos
20440,1,0.711304,-0.54187,0.169556,-29.052734,-4.02832,-3.173828,circulos
20450,1,0.70813,-0.571533,0.138672,-27.648926,-5.92041,-3.173828,circulos
20459,1,0.719116,-0.580078,0.146606,-26.977539,-8.117676,-3.78418,circulos
20469,1,0.72583,-0.586426,0.157959,-26.916504,-9.643555,-4.394531,circulos
20478,1,0.732544,-0.605835,0.172119,-27.526855,-11.047363,-4.272461,circulos
20488,1,0.732178,-0.613525,0.185669,-28.137207,-12.634277,-2.380371,circulos
20497,1,0.740234,-0.612793,0.18689,-28.381348,-14.099121,0.488281,circulos
20507,1,0.756958,-0.608521,0.194702,-27.648926,-16.235352,2.502441,circulos
20517,1,0.772339,-0.605225,0.227051,-26.794434,-20.874023,2.990723,circulos
20526,1,0.780762,-0.619507,0.246826,-25.878906,-21.850586,2.258301,circulos
20535,1,0.776001,-0.628784,0.258911,-24.963379,-22.460937,1.708984,circulos
20544,1,0.77356,-0.627319,0.270508,-24.047852,-23.31543,0.976562,circulos
20554,1,0.772827,-0.621704,0.278809,-22.705078,-24.353027,0.793457,circulos
20564,1,0.776733,-0.607666,0.281738,-21.66748,-25.57373,1.586914,circulos
20573,1,0.778931,-0.604248,0.285034,-21.484375,-26.855469,2.563477,circulos
20582,1,0.784302,-0.618652,0.294312,-21.42334,-28.625488,2.868652,circulos
20592,1,0.7948,-0.650391,0.312622,-20.385742,-30.639648,3.967285,circulos
20602,1,0.796143,-0.665283,0.348145,-19.348145,-30.029297,4.333496,circulos
20612,1,0.787231,-0.676758,0.359497,-18.127441,-29.541016,4.760742,circulos
20621,1,0.782593,-0.68811,0.365479,-16.296387,-29.174805,5.371094,circulos
20630,1,0.78418,-0.691162,0.370483,-14.099121,-29.23584,6.103516,circulos
20639,1,0.79248,-0.6875,0.380981,-11.657715,-28.869629,6.896973,circulos
20649,1,0.793457,-0.684326,0.390259,-9.643555,-27.893066,7.568359,circulos
20658,1,0.788574,-0.681885,0.395386,-8.117676,-26.794434,8.361816,circulos
20667,1,0.78186,-0.679443,0.393311,-5.310059,-24.780273,10.742188,circulos
20678,1,0.769287,-0.682007,0.370483,-3.295898,-24.902344,12.023926,circulos
20687,1,0.763672,-0.677979,0.370117,-1.647949,-25.634766,13.122559,circulos
20696,1,0.761597,-0.672729,0.374023,-0.305176,-26.489258,14.526367,circulos
20706,1,0.762573,-0.674805,0.380859,1.159668,-27.282715,15.808105,circulos
20715,1,0.763672,-0.676025,0.388184,1.831055,-28.259277,17.211914,circulos
20724,1,0.765869,-0.677368,0.401978,2.990723,-29.052734,18.371582,circulos
20733,1,0.777588,-0.679687,0.414795,4.516602,-29.052734,19.53125,circulos
20742,1,0.787842,-0.670776,0.41687,5.737305,-28.259277,21.54541,circulos
20751,1,0.798096,-0.658325,0.416992,6.530762,-26.611328,25.146484,circulos
20762,1,0.829956,-0.626953,0.415283,8.972168,-26.062012,26.672363,circulos
20771,1,0.845459,-0.605591,0.424927,9.765625,-25.146484,27.46582,circulos
20780,1,0.859131,-0.594238,0.437988,10.620117,-24.353027,27.954102,circulos
20789,1,0.874756,-0.592163,0.45752,11.779785,-23.254395,28.625488,circulos
20799,1,0.884644,-0.590698,0.474243,12.634277,-21.606445,29.296875,circulos
20808,1,0.884033,-0.576782,0.47998,13.977051,-19.897461,29.663086,circulos
20817,1,0.88501,-0.563965,0.480957,15.869141,-18.798828,29.907227,circulos
20826,1,0.887695,-0.54834,0.473511,18.249512,-18.920898,29.968262,circulos
20836,1,0.887085,-0.53125,0.466431,20.324707,-19.65332,29.663086,circulos
20845,1,0.893188,-0.517212,0.46582,23.742676,-20.080566,27.954102,circulos
20855,1,0.907227,-0.48877,0.455933,24.536133,-19.836426,27.893066,circulos
20866,1,0.917725,-0.478027,0.454834,24.291992,-19.65332,28.320312,circulos
20877,1,0.929199,-0.466797,0.456299,24.353027,-18.798828,28.869629,circulos
20886,1,0.937622,-0.459473,0.457642,24.475098,-17.51709,29.174805,circulos
20896,1,0.939087,-0.452637,0.448608,25.57373,-15.441895,28.686523,circulos
20915,1,0.952515,-0.459717,0.437866,28.625488,-14.343262,26.123047,circulos
20925,1,0.953613,-0.454956,0.442139,28.564453,-12.939453,25.878906,circulos
20935,1,0.958374,-0.457275,0.439575,28.198242,-11.169434,26.184082,circulos
20945,1,0.961304,-0.461914,0.430664,28.137207,-9.887695,26.916504,circulos
20955,1,0.961792,-0.471069,0.422852,29.602051,-7.8125,26.611328,circulos
20965,1,0.965942,-0.49707,0.418701,30.517578,-7.263184,25.939941,circulos
20976,1,0.975098,-0.514282,0.419922,32.165527,-6.896973,25.817871,circulos
20986,1,0.991211,-0.526489,0.418701,33.752441,-6.225586,26.184082,circulos
20995,1,1.00708,-0.534058,0.415161,35.095215,-5.065918,26.855469,circulos
21006,1,1.019897,-0.53186,0.413818,36.437988,-1.586914,29.23584,circulos
